영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
버닝,BURNING,2018,한국,미스터리,주연,,,,
국가부도의 날,,2018,한국,드라마,주연,,,,
좋아해줘,Like for Likes,2015,한국,"멜로/로맨스,코미디",주연,"6,572,774,337","848,148","6,572,774,337","848,148"
사도,The Throne,2014,한국,사극,주연,"48,842,902,501","6,246,849","48,846,045,501","6,247,651"
베테랑,Veteran,2014,한국,"액션,드라마",주연-조태오역,"105,168,155,250","13,414,009","105,169,264,250","13,414,200"
우아한 거짓말,Thread of Lies,2013,한국,드라마,주연,"11,727,360,300","1,618,988","11,730,849,300","1,619,601"
우리별 일호와 얼룩소,The Satellite Girl and Milk Cow,2013,한국,"애니메이션,판타지,어드벤처",주연(목소리),"290,485,500","43,888","292,344,500","44,411"
깡철이,Tough As Iron,2013,한국,"드라마,액션,가족",주연-강철역,"8,572,344,462","1,209,363","8,572,344,462","1,209,363"
완득이,Punch,2011,한국,드라마,주연,"38,530,503,500","5,310,510","38,533,831,000","5,311,353"
씨네 21 영화토크쇼,Cine21 Talk Show,2011,한국,기타,주연,,,"2,264,000",566
하늘과 바다,Sky and Sea,2009,한국,드라마,주연-진구역,"121,651,444","18,059","120,315,500","17,857"
서양 골동 양과자점 앤티크,Antique,2008,한국,드라마,주연,"7,367,880,833","1,173,310","7,420,479,500","1,181,332"
좋지 아니한가,Skeletons In The Closet,2007,한국,"드라마,코미디",주연-아들 심용태역,0,"321,654","1,849,140,000","306,470"
우리에게 내일은 없다,Boys Of Tomorrow,2006,한국,드라마,주연,0,"3,500","22,063,500","3,329"
버닝,BURNING,2018,한국,미스터리,주연,,,,
더 크리스마스,The Star,2017,미국,"애니메이션,어드벤처",주연(목소리),"486,356,000","65,460","486,356,000","65,460"
옥자,Okja,2017,미국,"어드벤처,액션,드라마",조연,"2,432,883,900","321,550","2,437,680,900","322,157"
메이헴,Mayhem,2017,미국,"액션,공포(호러)",주연,,,,
프랑스 영화처럼,Like a French Film,2014,한국,드라마,주연,"37,782,300","4,881","37,786,300","4,885"
버닝,BURNING,2018,한국,미스터리,"감독,시나리오(각본)",,,,
싱글라이더,A Single Rider,2016,한국,드라마,기획,"2,685,519,021","351,276","2,685,519,021","351,276"
우리들,The World of Us,2016,한국,드라마,기획-기획총괄,"359,999,960","48,423","365,358,460","49,346"
도희야,A Girl at My Door,2014,한국,드라마,"기획,제작","830,948,100","106,511","831,731,100","106,658"
화이: 괴물을 삼킨 아이,Hwayi: A Monster Boy,2013,한국,"액션,스릴러","제작,기획","17,695,516,795","2,394,466","17,695,683,795","2,394,487"
토니 레인즈의 한국영화 25년,"Tony Rayns, The Not-So-Distant Observer",2012,한국,다큐멘터리,주연,,,,
시,Poetry,2010,한국,드라마,"감독,시나리오(각본)","1,567,857,053","222,017","1,546,439,650","218,898"
여행자,A Brand New Life,2009,"한국,프랑스",드라마,"시나리오(각본)-공동각본,제작","135,668,849","18,797","134,318,600","18,617"
"나의 사랑, 나의 영화","My Love, Korean Cinema",2008,한국,다큐멘터리,주연,,,,
밀양,Secret Sunshine,2007,한국,드라마,"감독,시나리오(각본),제작",0,"1,710,364","10,270,292,500","1,604,439"
두 번째 사랑,Never Forever,2006,"한국,미국","드라마,멜로/로맨스",제작,0,"80,248","655,033,000","99,430"
한국 영화의 르네상스,The Nine Lives Of Korean Cinema,2005,"프랑스,한국",다큐멘터리,주연,,,,
오아시스,Oasis,2002,한국,드라마,"감독,시나리오(각본)",,"537,068","1,641,000",205
박하사탕,A Peppermint Candy,1999,한국,드라마,"감독,시나리오(각본)",0,"290,352","82,043,100","9,214"
초록물고기,Green Fish,1997,한국,"드라마,멜로/로맨스,액션","감독,시나리오(각본)",0,"163,655","1,087,000",161
아름다운 청년 전태일,A Single Spark,1995,한국,드라마,시나리오(각본),0,"235,935","118,000",21
그 섬에 가고 싶다,To The Starry Island,1993,한국,"드라마,전쟁",시나리오(각본),0,"147,310","221,000",43
버닝,BURNING,2018,한국,미스터리,배급사,,,,
당신의 부탁,Mothers,2018,한국,드라마,배급사,"194,614,528","24,212","205,397,428","25,605"
뎀프시롤(가제),,2018,한국,"코미디,드라마","배급사,제공",,,,
튼튼이의 모험,Loser's Adventure,2017,한국,코미디,배급사,,,"765,000",119
원더스트럭,Wonderstruck,2017,미국,드라마,"배급사,수입사","8,257,500",887,"196,071,800","22,796"
