영화인 '라이언 레놀즈'의 필모 리스트,,,,,,,,,
영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
데드풀 2,DEADPOOL 2,2018,미국,"액션,어드벤처,코미디,SF",주연,,,"18,607,000","1,271"
킬러의 보디가드,The Hitman's Bodyguard,2017,미국,"액션,코미디",주연-마이클 브라이스 역,"14,020,395,800","1,721,757","14,020,395,800","1,721,757"
라이프,Life,2017,미국,"SF,스릴러",주연,"3,791,748,210","459,984","3,791,748,210","459,984"
크리미널,Criminal,2016,"영국,미국","액션,범죄",주연,"738,985,181","92,358","738,985,181","92,358"
데드풀,Deadpool,2016,미국,"액션,SF",주연,"27,595,618,651","3,317,196","27,595,618,651","3,317,196"
셀프/리스,Self/less,2015,미국,"SF,액션,스릴러",주연,"874,447,764","111,127","874,447,764","111,127"
우먼 인 골드,Woman in Gold,2015,"미국,영국",드라마,주연,"1,109,776,800","144,154","1,111,546,800","144,744"
더 보이스,The Voices,2014,"미국,독일","코미디,범죄",주연,,,,
R.I.P.D. : 알.아이.피.디.,R.I.P.D,2013,미국,"액션,코미디,범죄",주연-닉 워커역,"725,451,071","101,460","725,451,071","101,460"
크루즈 패밀리,The Croods,2013,미국,"애니메이션,가족,코미디",주연(목소리),"6,540,060,500","941,615","6,552,685,700","943,806"
터보,Turbo,2012,미국,애니메이션,주연-터보역(목소리),"13,113,579,000","1,923,748","13,121,226,000","1,925,154"
세이프 하우스,SAFE HOUSE,2012,"미국,남아프리카공화국","액션,스릴러",주연,"1,223,151,500","163,729","1,223,156,500","163,730"
그린랜턴: 반지의 선택,Green Lantern,2011,미국,"SF,액션",주연-할 조던 / 그린 랜턴역,"1,651,783,500","216,676","1,651,783,500","216,676"
체인지 업,The Change-Up,2011,미국,코미디,주연,,,,
베리드,Buried,2010,스페인,드라마,주연,"470,090,587","64,449","465,167,000","63,757"
페이퍼맨,Paper Man,2009,미국,"코미디,드라마",주연,"900,000",150,"900,000",150
프로포즈,The Proposal,2009,미국,"멜로/로맨스,코미디,드라마",주연-앤드류 팩스턴역,"2,481,694,139","328,767","2,442,083,500","323,707"
엑스맨 탄생: 울버린,X-Men Origins: Wolverine,2009,미국,"SF,액션,판타지",주연,"8,560,185,022","1,303,452","8,408,135,000","1,280,734"
반딧불이 정원,Fireflies in the Garden,2008,미국,"가족,드라마",주연,,,,
나의 특별한 사랑이야기,"Definitely, Maybe",2007,미국,"코미디,드라마,멜로/로맨스",주연-윌 헤이즈 역,"1,166,701,500","186,234","1,165,168,500","179,336"
더 나인스,The Nines,2007,미국,"판타지,미스터리",주연,,,,
카오스 이론,Chaos Theory,2007,미국,"코미디,드라마,멜로/로맨스",주연,,,,
저스트 프렌드,Just Friends,2005,미국,"코미디,멜로/로맨스",주연-크리스 브랜더역,0,"246,431","1,444,893,000","236,759"
아미티빌 호러,The Amityville Horror,2005,미국,공포(호러),주연,0,"92,433","527,182,500","83,166"
웨이팅...,Waiting...,2005,미국,코미디,주연,,,,
블레이드 3,Blade: Trinity,2004,미국,액션,주연,0,"1,069,643","4,736,231,500","728,229"
풀프루프,Foolproof,2003,캐나다,"액션,코미디,범죄,스릴러",주연-케빈역,,,,
엽기캠퍼스,Van Wilder,2002,"독일,미국","코미디,멜로/로맨스",주연-밴 와일더역,,,,
화려한 싱글,Buying The Cow,2002,미국,코미디,주연,,,,
데드풀 2,DEADPOOL 2,2018,미국,"액션,어드벤처,코미디,SF",감독,,,"18,607,000","1,271"
아토믹 블론드,Atomic Blonde,2017,미국,액션,감독,"1,177,725,658","155,368","1,177,725,658","155,368"
존 윅: 특별판,John Wick,2014,미국,"액션,드라마",감독,"30,000",10,"30,000",10
존 윅,John Wick,2014,미국,"액션,스릴러",감독,"925,995,637","116,119","927,819,137","116,402"
데드풀 2,DEADPOOL 2,2018,미국,"액션,어드벤처,코미디,SF","배급사,수입사",,,"18,607,000","1,271"
레드 스패로,RED SPARROW,2018,미국,스릴러,"배급사,수입사","860,687,700","108,334","860,743,700","108,344"
개들의 섬,Isle of Dogs,2018,"독일,미국","코미디,다큐멘터리","배급사,수입사",,,,
엑스맨: 뉴 뮤턴트,The New Mutants,2018,미국,"액션,공포(호러),SF","배급사,수입사",,,,
쓰리 빌보드,"Three Billboards Outside Ebbing, Missouri",2017,미국,"코미디,범죄,드라마","배급사,수입사","790,351,200","96,239","799,885,700","97,450"
셰이프 오브 워터: 사랑의 모양,The Shape of Water,2017,미국,"어드벤처,판타지","배급사,수입사","4,203,946,900","505,499","4,205,645,900","505,712"
메이즈 러너: 데스 큐어,Maze Runner: The Death Cure,2017,미국,"액션,SF,스릴러","배급사,수입사","18,903,209,104","2,299,780","18,902,975,104","2,299,751"
페르디난드,FERDINAND,2017,미국,"애니메이션,어드벤처,코미디","배급사,수입사","3,866,542,500","535,448","3,866,542,500","535,448"
위대한 쇼맨,The Greatest Showman,2017,미국,"드라마,뮤지컬","배급사,수입사","11,505,099,700","1,402,058","11,503,884,200","1,401,899"
오리엔트 특급 살인,Murder on the Orient Express,2017,미국,"드라마,미스터리,범죄","배급사,수입사","6,645,385,163","864,757","6,645,385,163","864,757"
빌리 진 킹: 세기의 대결,Battle Of The Sexes,2017,"미국,영국",코미디,"배급사,수입사","159,850,000","20,138","159,850,000","20,138"
어메이징 메리,Gifted,2017,미국,드라마,"배급사,수입사","279,960,500","34,777","279,960,500","34,777"
킹스맨: 골든 서클,Kingsman: The Golden Circle,2017,"미국,영국","액션,어드벤처,코미디","배급사,수입사","40,987,484,736","4,945,484","40,987,484,736","4,945,484"
혹성탈출: 종의 전쟁,WAR FOR THE PLANET OF THE APES,2017,미국,"액션,어드벤처,드라마,SF","배급사,수입사","16,854,482,778","2,051,315","16,854,482,778","2,051,315"
대립군,WARRIORS OF THE DAWN,2017,한국,"드라마,사극",배급사,"6,276,963,402","837,500","6,276,963,402","837,500"
에이리언: 커버넌트,Alien: Covenant,2017,"미국,호주,뉴질랜드","SF,스릴러","배급사,수입사","10,745,826,264","1,307,226","10,745,826,264","1,307,226"
로건,Logan,2017,미국,"액션,SF","배급사,수입사","18,391,060,223","2,169,109","18,391,060,223","2,169,109"
니 부모 얼굴이 보고 싶다,,2017,한국,드라마,배급사,,,,
히든 피겨스,Hidden Figures,2016,미국,드라마,"배급사,수입사","3,580,767,033","449,518","3,580,767,033","449,518"
더 큐어,A Cure For Wellness,2016,"미국,독일","미스터리,스릴러","배급사,수입사","1,331,883,200","159,948","1,331,883,200","159,948"
어쌔신 크리드,Assassin's Creed,2016,"미국,영국,프랑스","액션,어드벤처,판타지,SF","배급사,수입사","2,899,270,921","355,813","2,899,270,921","355,813"
미스 페레그린과 이상한 아이들의 집,Miss Peregrine's Home For Peculiar Children,2016,"미국,벨기에,영국","미스터리,판타지","배급사,수입사","21,841,214,586","2,718,158","21,841,214,586","2,718,158"
아이스 에이지: 지구 대충돌,Ice Age: Collision Course,2016,미국,"애니메이션,어드벤처,코미디","배급사,수입사","4,092,484,600","553,760","4,092,484,600","553,760"
인디펜던스 데이 : 리써전스,Independence Day: Resurgence,2016,미국,"액션,어드벤처,SF","배급사,수입사","12,770,879,840","1,500,830","12,770,879,840","1,500,830"
엑스맨: 아포칼립스,X-Men: Apocalypse,2016,미국,"액션,어드벤처,판타지,SF","배급사,수입사","24,467,887,950","2,938,818","24,467,887,950","2,938,818"
곡성,THE WAILING,2016,한국,"미스터리,스릴러,드라마","배급사,제공","55,863,520,382","6,879,908","55,864,308,382","6,879,989"
브루클린,Brooklyn,2016,미국,"드라마,멜로/로맨스","배급사,수입사","412,985,600","51,106","412,985,600","51,106"
독수리 에디,Eddie the Eagle,2016,미국,드라마,"배급사,수입사","1,799,381,120","226,341","1,799,381,120","226,341"
데드풀,Deadpool,2016,미국,"액션,SF","배급사,수입사","27,595,618,651","3,317,196","27,595,618,651","3,317,196"
국가의 탄생,The Birth of a Nation,2016,미국,드라마,"배급사,수입사",,,,
조이,Joy,2015,미국,"코미디,드라마","배급사,수입사","1,377,567,200","172,198","1,378,007,200","172,253"
앨빈과 슈퍼밴드: 악동 어드벤처,Alvin and the Chipmunks: The Road Chip,2015,미국,"애니메이션,어드벤처,코미디","배급사,수입사","2,125,772,200","292,495","2,125,772,200","292,495"
레버넌트: 죽음에서 돌아온 자,The Revenant,2015,미국,"어드벤처,드라마","배급사,수입사","16,111,255,130","2,007,657","16,111,327,130","2,007,665"
스누피: 더 피너츠 무비,The Peanuts Movie,2015,미국,"애니메이션,어드벤처,코미디","배급사,수입사","1,505,929,300","197,238","1,505,929,300","197,238"
미스트리스 아메리카,Mistress America,2015,미국,"코미디,드라마","배급사,수입사","65,584,200","7,995","65,584,200","7,995"
스파이 브릿지,Bridge of Spies,2015,미국,"스릴러,드라마","배급사,수입사","2,051,232,478","265,075","2,062,654,278","266,493"
마션,The Martian,2015,미국,"액션,어드벤처,SF","배급사,수입사","39,663,145,295","4,880,800","39,672,140,595","4,881,865"
메이즈 러너: 스코치 트라이얼,Maze Runner: The Scorch Trials,2015,미국,"액션,SF,스릴러","배급사,수입사","21,596,946,349","2,744,413","21,596,946,349","2,744,413"
히트맨: 에이전트 47,Hitman: Agent 47,2015,미국,"액션,범죄,스릴러","배급사,수입사","502,308,500","64,157","502,308,500","64,157"
판타스틱 4,Fantastic 4,2015,미국,"액션,판타지,SF","배급사,수입사","3,029,310,600","399,667","3,029,310,600","399,667"
스파이,Spy,2015,미국,"액션,코미디","배급사,수입사","18,417,637,358","2,318,748","18,417,637,358","2,318,748"
나의 절친 악당들,Intimate Enemies,2014,한국,"범죄,액션,드라마",배급사,"1,054,470,664","133,553","1,054,470,664","133,553"
버드맨,Birdman or The Unexpected Virtue of Ignorance,2014,미국,"코미디,드라마","배급사,수입사","1,664,640,800","206,241","1,664,640,800","206,241"
킹스맨 : 시크릿 에이전트,Kingsman: The Secret Service,2014,"미국,영국","액션,스릴러","배급사,수입사","50,369,009,795","6,129,681","50,369,009,795","6,129,681"
와일드,Wild,2014,미국,드라마,"배급사,수입사","665,271,800","83,334","668,736,800","83,761"
박물관이 살아있다 : 비밀의 무덤,Night at the Museum: Secret of the Tomb,2014,"미국,영국","어드벤처,코미디,가족","배급사,수입사","8,170,784,606","1,101,678","8,170,784,606","1,101,678"
테이큰 3,Taken 3,2014,미국,"액션,범죄,스릴러","배급사,수입사","16,102,014,000","2,006,561","16,102,014,000","2,006,561"
엑소더스: 신들과 왕들,Exodus: Gods and Kings,2014,"미국,영국,스페인",드라마,"배급사,수입사","12,448,333,926","1,511,845","12,448,333,926","1,511,845"
아더 우먼,The Other Woman,2014,미국,"코미디,멜로/로맨스","배급사,수입사","593,353,218","78,978","593,353,218","78,978"
나를 찾아줘,Gone Girl,2014,미국,스릴러,"배급사,수입사","14,017,716,731","1,764,233","14,017,716,731","1,764,233"
슬로우 비디오,Slow Video,2014,한국,"드라마,코미디",배급사,"8,913,092,219","1,169,562","8,913,092,219","1,169,562"
메이즈 러너,The Maze Runner,2014,미국,"액션,미스터리,SF,스릴러","배급사,수입사","21,489,367,677","2,812,427","21,489,367,677","2,812,427"
"안녕, 헤이즐",The Fault In Our Stars,2014,미국,"드라마,멜로/로맨스","배급사,수입사","5,833,905,000","749,146","5,833,905,000","749,146"
혹성탈출: 반격의 서막,Dawn of the Planet of the Apes,2014,미국,"액션,드라마,SF,스릴러","배급사,수입사","31,514,053,095","4,002,560","31,514,053,095","4,002,560"
엑스맨: 데이즈 오브 퓨처 패스트,X-Men: Days of Future Past,2014,미국,"액션,판타지,SF,어드벤처","배급사,수입사","34,654,558,766","4,313,871","34,654,558,766","4,313,871"
리오 2,Rio 2,2014,미국,"애니메이션,코미디,어드벤처","배급사,수입사","5,668,239,900","765,713","5,669,231,900","765,961"
그랜드 부다페스트 호텔,The Grand Budapest Hotel,2014,"미국,독일","미스터리,어드벤처","배급사,수입사","6,014,299,982","773,887","6,049,062,782","778,493"
모뉴먼츠 맨: 세기의 작전,The Monuments Men,2014,"미국,독일","액션,드라마","배급사,수입사","534,041,027","71,483","534,041,027","71,483"
더 드롭,The Drop,2014,미국,"범죄,드라마","배급사,수입사",,,,
월터의 상상은 현실이 된다,The Secret Life of Walter Mitty,2013,미국,"어드벤처,코미디,드라마","배급사,수입사","6,877,576,799","941,672","6,994,192,499","955,955"
다이노소어 어드벤처 3D,Walking with Dinosaurs 3D,2013,"미국,영국","액션,가족","배급사,수입사","4,860,516,500","599,963","4,860,516,500","599,963"
카운슬러,The Counselor,2013,"미국,영국","범죄,드라마,스릴러","배급사,수입사","966,623,000","133,272","966,623,000","133,272"
히든 카드,Runner Runner,2013,미국,"범죄,스릴러","배급사,수입사","1,080,423,651","151,476","1,080,423,651","151,476"
퍼시 잭슨과 괴물의 바다,Percy Jackson and Sea of Monsters,2013,미국,"판타지,어드벤처","배급사,수입사","3,791,349,609","519,584","3,791,349,609","519,584"
에픽 : 숲속의 전설,Epic,2013,미국,"애니메이션,어드벤처","배급사,수입사","6,748,089,000","978,788","6,748,072,000","978,785"
더 울버린,The Wolverine,2013,미국,"액션,SF","배급사,수입사","7,849,518,000","1,075,333","7,849,518,000","1,075,333"
스토커,Stoker,2013,미국,"드라마,스릴러","배급사,수입사","2,828,301,674","378,729","2,832,318,674","379,241"
다이하드: 굿 데이 투 다이,A Good Day to Die Hard,2013,미국,"액션,범죄,스릴러","배급사,수입사","10,825,703,000","1,438,056","10,825,703,000","1,438,056"
